"icd10_3dig","icd10_4dig","Body Region","Organ System"
"C00","C000","head and neck","other"
"C00","C001","head and neck","other"
"C00","C002","head and neck","other"
"C00","C003","head and neck","other"
"C00","C004","head and neck","other"
"C00","C006","head and neck","other"
"C00","C009","head and neck","other"
"C01","C01","head and neck","other"
"C02","C020","head and neck","other"
"C02","C021","head and neck","other"
"C02","C022","head and neck","other"
"C02","C023","head and neck","other"
"C02","C024","head and neck","other"
"C02","C028","head and neck","other"
"C02","C029","head and neck","other"
"C03","C030","head and neck","other"
"C03","C031","head and neck","other"
"C03","C039","head and neck","other"
"C04","C040","head and neck","other"
"C04","C041","head and neck","other"
"C04","C049","head and neck","other"
"C05","C050","head and neck","other"
"C05","C051","head and neck","other"
"C05","C052","head and neck","other"
"C05","C058","head and neck","other"
"C05","C059","head and neck","other"
"C06","C060","head and neck","other"
"C06","C061","head and neck","other"
"C06","C062","head and neck","other"
"C06","C069","head and neck","other"
"C07","C07","head and neck","other"
"C08","C080","head and neck","other"
"C08","C089","head and neck","other"
"C09","C090","head and neck","other"
"C09","C098","head and neck","other"
"C09","C099","head and neck","other"
"C10","C100","head and neck","other"
"C10","C101","head and neck","other"
"C10","C103","head and neck","other"
"C10","C109","head and neck","other"
"C11","C111","head and neck","respiratory"
"C11","C112","head and neck","respiratory"
"C11","C119","head and neck","digestive"
"C12","C12","head and neck","other"
"C13","C130","head and neck","other"
"C13","C131","head and neck","other"
"C13","C132","head and neck","other"
"C13","C139","head and neck","other"
"C14","C140","head and neck","other"
"C14","C148","head and neck","other"
"C15","C150","chest","digestive"
"C15","C151","chest","digestive"
"C15","C153","chest","digestive"
"C15","C154","chest","digestive"
"C15","C155","chest","digestive"
"C15","C158","chest","digestive"
"C15","C159","chest","digestive"
"C16","C160","abdomen","digestive"
"C16","C161","abdomen","digestive"
"C16","C162","abdomen","digestive"
"C16","C163","abdomen","digestive"
"C16","C164","abdomen","digestive"
"C16","C165","abdomen","digestive"
"C16","C166","abdomen","digestive"
"C16","C168","abdomen","digestive"
"C16","C169","abdomen","digestive"
"C17","C170","abdomen","digestive"
"C17","C171","abdomen","digestive"
"C17","C172","abdomen","digestive"
"C17","C179","abdomen","digestive"
"C18","C180","abdomen","digestive"
"C18","C181","abdomen","digestive"
"C18","C182","abdomen","digestive"
"C18","C183","abdomen","digestive"
"C18","C184","abdomen","digestive"
"C18","C185","abdomen","digestive"
"C18","C186","abdomen","digestive"
"C18","C187","pelvis","digestive"
"C18","C188","abdomen","digestive"
"C18","C189","abdomen","digestive"
"C19","C19","pelvis","digestive"
"C20","C20","pelvis","digestive"
"C21","C210","pelvis","digestive"
"C21","C211","pelvis","digestive"
"C21","C218","pelvis","digestive"
"C22","C220","abdomen","digestive"
"C22","C221","abdomen","digestive"
"C22","C222","abdomen","digestive"
"C22","C223","abdomen","digestive"
"C22","C224","abdomen","digestive"
"C22","C227","abdomen","digestive"
"C22","C229","abdomen","digestive"
"C23","C23","abdomen","digestive"
"C24","C240","abdomen","digestive"
"C24","C241","abdomen","digestive"
"C24","C249","abdomen","digestive"
"C25","C250","abdomen","digestive"
"C25","C251","abdomen","digestive"
"C25","C252","abdomen","digestive"
"C25","C253","abdomen","digestive"
"C25","C257","abdomen","digestive"
"C25","C258","abdomen","digestive"
"C25","C259","abdomen","digestive"
"C26","C260","abdomen","digestive"
"C26","C269","abdomen","other"
"C30","C300","head and neck","other"
"C30","C301","head and neck","other"
"C31","C310","head and neck","other"
"C31","C311","head and neck","other"
"C31","C313","head and neck","other"
"C32","C320","head and neck","respiratory"
"C32","C321","head and neck","respiratory"
"C32","C322","head and neck","respiratory"
"C32","C323","head and neck","respiratory"
"C32","C329","head and neck","respiratory"
"C33","C33","chest","respiratory"
"C34","C340","chest","respiratory"
"C34","C341","chest","respiratory"
"C34","C342","chest","respiratory"
"C34","C343","chest","respiratory"
"C34","C348","chest","respiratory"
"C34","C349","chest","respiratory"
"C37","C37","chest","immune & haematological"
"C38","C380","chest","cardiovascular"
"C38","C381","chest","cardiovascular"
"C38","C383","chest","respiratory"
"C38","C384","chest","respiratory"
"C38","C388","chest","other"
"C39","C399","chest","respiratory"
"C40","C400","upper and lower limbs","skeletal"
"C40","C402","upper and lower limbs","skeletal"
"C40","C403","upper and lower limbs","skeletal"
"C40","C409","upper and lower limbs","skeletal"
"C41","C410","head and neck","skeletal"
"C41","C412","other","skeletal"
"C41","C413","chest","skeletal"
"C41","C414","pelvis","skeletal"
"C41","C418","other","skeletal"
"C41","C419","other","skeletal"
"C43","C430","head and neck","other"
"C43","C431","head and neck","other"
"C43","C432","head and neck","other"
"C43","C433","head and neck","other"
"C43","C434","head and neck","other"
"C43","C435","other","other"
"C43","C436","upper and lower limbs","other"
"C43","C437","upper and lower limbs","other"
"C43","C438","other","other"
"C43","C439","other","other"
"C45","C450","chest","respiratory"
"C45","C451","abdomen","digestive"
"C45","C452","chest","cardiovascular"
"C45","C457","other","other"
"C45","C459","other","other"
"C46","C461","other","other"
"C47","C470","head and neck","other"
"C47","C472","upper and lower limbs","other"
"C47","C479","other","other"
"C48","C480","abdomen","other"
"C48","C481","abdomen","other"
"C48","C482","abdomen","other"
"C48","C488","abdomen","other"
"C49","C490","head and neck","other"
"C49","C491","upper and lower limbs","other"
"C49","C492","upper and lower limbs","other"
"C49","C493","chest","other"
"C49","C494","abdomen","other"
"C49","C495","pelvis","other"
"C49","C496","pelvis","other"
"C49","C499","other","other"
"C50","C500","chest","breast"
"C50","C501","chest","breast"
"C50","C502","chest","breast"
"C50","C503","chest","breast"
"C50","C504","chest","breast"
"C50","C505","chest","breast"
"C50","C506","chest","breast"
"C50","C508","chest","breast"
"C50","C509","chest","breast"
"C51","C510","pelvis","reproductive"
"C51","C511","pelvis","reproductive"
