"readterm","readcode"
"Diabetes type 1 review","66An.00"
"Diabetes mellitus, juvenile type, no mention of complication","C100000"
"Insulin dependent diabetes mellitus","C100011"
"Diabetes mellitus, juvenile type, with ketoacidosis","C101000"
"Diabetes mellitus, juvenile type, with hyperosmolar coma","C102000"
"Diabetes mellitus, juvenile type, with ketoacidotic coma","C103000"
"Diabetes mellitus, juvenile type, with renal manifestation","C104000"
"Diabetes mellitus, juvenile type, + ophthalmic manifestation","C105000"
"Diabetes mellitus, juvenile, + neurological manifestation","C106000"
"Diabetes mellitus, juvenile +peripheral circulatory disorder","C107000"
"IDDM with peripheral circulatory disorder","C107300"
"Insulin dependent diabetes mellitus","C108.00"
"IDDM-Insulin dependent diabetes mellitus","C108.11"
"Type 1 diabetes mellitus","C108.12"
"Type I diabetes mellitus","C108.13"
"Insulin-dependent diabetes mellitus with renal complications","C108000"
"Type I diabetes mellitus with renal complications","C108011"
"Type 1 diabetes mellitus with renal complications","C108012"
"Insulin-dependent diabetes mellitus with ophthalmic comps","C108100"
"Insulin-dependent diabetes mellitus with neurological comps","C108200"
"Type I diabetes mellitus with neurological complications","C108211"
"Type 1 diabetes mellitus with neurological complications","C108212"
"Insulin dependent diabetes mellitus with multiple complicatn","C108300"
"Unstable insulin dependant diabetes mellitus","C108400"
"Unstable type I diabetes mellitus","C108411"
"Unstable type 1 diabetes mellitus","C108412"
"Insulin dependent diabetes mellitus with ulcer","C108500"
"Type I diabetes mellitus with ulcer","C108511"
"Type 1 diabetes mellitus with ulcer","C108512"
"Insulin dependent diabetes mellitus with gangrene","C108600"
"Insulin dependent diabetes mellitus with retinopathy","C108700"
"Type I diabetes mellitus with retinopathy","C108711"
"Type 1 diabetes mellitus with retinopathy","C108712"
"Insulin dependant diabetes mellitus - poor control","C108800"
"Type I diabetes mellitus - poor control","C108811"
"Type 1 diabetes mellitus - poor control","C108812"
"Insulin dependant diabetes maturity onset","C108900"
"Type I diabetes mellitus maturity onset","C108911"
"Type 1 diabetes mellitus maturity onset","C108912"
"Insulin-dependent diabetes without complication","C108A00"
"Type I diabetes mellitus without complication","C108A11"
"Insulin dependent diabetes mellitus with mononeuropathy","C108B00"
"Insulin dependent diabetes mellitus with polyneuropathy","C108C00"
"Insulin dependent diabetes mellitus with nephropathy","C108D00"
"Type I diabetes mellitus with nephropathy","C108D11"
"Insulin dependent diabetes mellitus with hypoglycaemic coma","C108E00"
"Type I diabetes mellitus with hypoglycaemic coma","C108E11"
"Type 1 diabetes mellitus with hypoglycaemic coma","C108E12"
"Insulin dependent diabetes mellitus with diabetic cataract","C108F00"
"Type I diabetes mellitus with diabetic cataract","C108F11"
"Insulin dependent diab mell with peripheral angiopathy","C108G00"
"Insulin dependent diabetes mellitus with arthropathy","C108H00"
"Type I diabetes mellitus with arthropathy","C108H11"
