"readterm","readcode"
"Borderline hyperten:yearly obs","6624.00"
"Good hypertension control","6627.00"
"Poor hypertension control","6628.00"
"Hypertension treatm. started","662F.00"
"Hypertensive treatm.changed","662G.00"
"On treatment for hypertension","662O.00"
"Moderate hypertension control","662b.00"
"Hypertension six month review","662c.00"
"Hypertension annual review","662d.00"
"Trial withdrawal of antihypertensive therapy","662r.00"
"High cost hypertension drugs","7Q01.00"
"Antihypertensive therapy","8B26.00"
"Patient on maximal tolerated antihypertensive therapy","8BL0.00"
"Hypertension treatment refused","8I3N.00"
"Blind hypertensive eye","F404200"
"Hypertensive retinopathy","F421300"
"Hypertensive disease","G2...00"
"BP - hypertensive disease","G2...11"
"Essential hypertension","G20..00"
"Malignant essential hypertension","G200.00"
"Benign essential hypertension","G201.00"
"Systolic hypertension","G202.00"
"Diastolic hypertension","G203.00"
"Essential hypertension NOS","G20z.00"
"Hypertension NOS","G20z.11"
"Hypertensive heart disease","G21..00"
"Malignant hypertensive heart disease","G210.00"
"Malignant hypertensive heart disease without CCF","G210000"
"Malignant hypertensive heart disease with CCF","G210100"
"Benign hypertensive heart disease","G211.00"
"Benign hypertensive heart disease without CCF","G211000"
"Benign hypertensive heart disease with CCF","G211100"
"Hypertensive heart disease NOS","G21z.00"
"Hypertensive heart disease NOS without CCF","G21z000"
"Cardiomegaly - hypertensive","G21z011"
"Hypertensive heart disease NOS with CCF","G21z100"
"Hypertensive heart disease NOS","G21zz00"
"Hypertensive renal disease","G22..00"
"Malignant hypertensive renal disease","G220.00"
"Benign hypertensive renal disease","G221.00"
"Hypertensive renal disease with renal failure","G222.00"
"Hypertensive renal disease NOS","G22z.00"
"Renal hypertension","G22z.11"
"Hypertensive heart and renal disease","G23..00"
"Malignant hypertensive heart and renal disease","G230.00"
"Benign hypertensive heart and renal disease","G231.00"
"Hypertensive heart&renal dis wth (congestive) heart failure","G232.00"
"Hypertensive heart and renal disease with renal failure","G233.00"
"Hyperten heart&renal dis+both(congestv)heart and renal fail","G234.00"
"Hypertensive heart and renal disease NOS","G23z.00"
"Other specified hypertensive disease","G2y..00"
"Hypertensive disease NOS","G2z..00"
"Hypertensive encephalopathy","G672.00"
"Hypertensive crisis","G672.11"
"[X]Hypertensive diseases","Gyu2.00"
"Other pre-existing hypertension in preg/childbirth/puerp","L122.00"
"Other pre-existing hypertension in preg/childb/puerp unspec","L122000"
"Other pre-existing hypertension in preg/childb/puerp - deliv","L122100"
"Other pre-exist hypertension in preg/childb/puerp-not deliv","L122300"
"Other pre-existing hypertension in preg/childb/puerp NOS","L122z00"
"Pre-eclampsia or eclampsia with pre-existing hypertension","L127.00"
"Pre-eclampsia or eclampsia + pre-existing hypertension NOS","L127z00"
"Pre-exist hypertension compl preg childbirth and puerperium","L128.00"
"Pre-exist hyperten heart dis compl preg childbth+puerperium","L128000"
"Pre-exist 2ndry hypertens comp preg childbth and puerperium","L128200"
"Adverse reaction to other antihypertensives","TJC7.00"
"Adverse reaction to antihypertensives NOS","TJC7z00"
"[X]Oth antihyperten drug caus advers eff in therap use, NEC","U60C500"
"[X] Adverse reaction to other antihypertensives","U60C511"
"[X] Adverse reaction to antihypertensives NOS","U60C51A"
"Hypertension induced by oral contraceptive pill","6146200"
"Secondary hypertension","G24..00"
"Secondary malignant hypertension","G240.00"
"Secondary malignant renovascular hypertension","G240000"
"Secondary malignant hypertension NOS","G240z00"
"Secondary benign hypertension","G241.00"
"Secondary benign renovascular hypertension","G241000"
"Secondary benign hypertension NOS","G241z00"
"Hypertension secondary to endocrine disorders","G244.00"
"Secondary hypertension NOS","G24z.00"
"Secondary renovascular hypertension NOS","G24z000"
"Hypertension secondary to drug","G24z100"
"Secondary hypertension NOS","G24zz00"
"[X]Hypertension secondary to other renal disorders","Gyu2100"
