"readterm","readcode"
"Ex-trivial smoker (<1/day)","1377.00"
"Ex-light smoker (1-9/day)","1378.00"
"Ex-moderate smoker (10-19/day)","1379.00"
"Ex-heavy smoker (20-39/day)","137A.00"
"Ex-very heavy smoker (40+/day)","137B.00"
"Ex-smoker - amount unknown","137F.00"
"Stopped smoking","137K.00"
"Ex pipe smoker","137N.00"
"Ex cigar smoker","137O.00"
"Ex smoker","137S.00"
"Date ceased smoking","137T.00"
"Ex-cigarette smoker","137j.00"
"Ex-smoker annual review - enhanced services administration","9km..00"
"Tobacco dependence in remission","E251300"
"Cigarette pack-years","137g.00"
"Pack years","388B.00"
"Smokers' cough","H310100"
"Pack years","ZRb3.00"
"[V]Personal history of tobacco abuse","ZV11600"
"Tobacco consumption","137..00"
"Smoker - amount smoked","137..11"
"Trivial smoker - < 1 cig/day","1372.00"
"Occasional smoker","1372.11"
"Light smoker - 1-9 cigs/day","1373.00"
"Moderate smoker - 10-19 cigs/d","1374.00"
"Heavy smoker - 20-39 cigs/day","1375.00"
"Very heavy smoker - 40+cigs/d","1376.00"
"Keeps trying to stop smoking","137C.00"
"Trying to give up smoking","137G.00"
"Pipe smoker","137H.00"
"Cigar smoker","137J.00"
"Rolls own cigarettes","137M.00"
"Cigarette smoker","137P.00"
"Smoker","137P.11"
"Smoking started","137Q.00"
"Smoking restarted","137Q.11"
"Current smoker","137R.00"
"Smoking reduced","137V.00"
"Cigarette consumption","137X.00"
"Cigar consumption","137Y.00"
"Tobacco consumption NOS","137Z.00"
"Pipe tobacco consumption","137a.00"
"Ready to stop smoking","137b.00"
"Thinking about stopping smoking","137c.00"
"Not interested in stopping smoking","137d.00"
"Smoking restarted","137e.00"
"Reason for restarting smoking","137f.00"
"Minutes from waking to first tobacco consumption","137h.00"
"Smoking cessation milestones","13p..00"
"Negotiated date for cessation of smoking","13p0.00"
"Smoking status at 4 weeks","13p1.00"
"Smoking status between 4 and 52 weeks","13p2.00"
"Smoking status at 52 weeks","13p3.00"
"Smoking free weeks","13p4.00"
"Smoking cessation programme start date","13p5.00"
"Carbon monoxide reading at 4 weeks","13p6.00"
"Fagerstrom test for nicotine dependence","38DH.00"
"Health ed. - smoking","6791.00"
"Pregnancy smoking advice","67A3.00"
"Lifestyle advice regarding smoking","67H1.00"
"Brief intervention for smoking cessation","67H6.00"
"Smoking cessation therapy","745H.00"
"Nicotine replacement therapy using nicotine patches","745H000"
"Nicotine replacement therapy using nicotine gum","745H100"
"Nicotine replacement therapy using nicotine inhalator","745H200"
"Nicotine replacement therapy using nicotine lozenges","745H300"
"Smoking cessation drug therapy","745H400"
"Other specified smoking cessation therapy","745Hy00"
"Smoking cessation therapy NOS","745Hz00"
"Nicotine replacement therapy","8B2B.00"
"Over the counter nicotine replacement therapy","8B3Y.00"
"Nicotine replacement therapy provided free","8B3f.00"
"Nicotine replacement therapy provided by community pharmacis","8BP3.00"
"Smoking cessation advice","8CAL.00"
"Smoking cessation advice provided by community pharmacist","8CAg.00"
"Referral to smoking cessation advisor","8H7i.00"
"Stop smoking face to face follow-up","8HBM.00"
"Referral to stop-smoking clinic","8HTK.00"
"Referral to NHS stop smoking service","8HkQ.00"
"Nicotine replacement therapy contraindicated","8I2I.00"
"Bupropion contraindicated","8I2J.00"
"Nicotine replacement therapy refused","8I39.00"
"Bupropion refused","8I3M.00"
"Seen by smoking cessation advisor","9N2k.00"
"DNA - Did not attend smoking cessation clinic","9N4M.00"
"Anti-smoking monitoring admin.","9OO..00"
"Stop smoking clinic admin.","9OO..11"
"Stop smoking monitoring admin.","9OO..12"
"Attends stop smoking monitor.","9OO1.00"
"Refuses stop smoking monitor","9OO2.00"
"Stop smoking monitor default","9OO3.00"
"Stop smoking monitor 1st lettr","9OO4.00"
"Stop smoking monitor 2nd lettr","9OO5.00"
"Stop smoking monitor 3rd lettr","9OO6.00"
"Stop smoking monitor verb.inv.","9OO7.00"
"Stop smoking monitor phone inv","9OO8.00"
"Stop smoking monitoring delete","9OO9.00"
"Stop smoking monitor.chck done","9OOA.00"
"Stop smoking monitor admin.NOS","9OOZ.00"
"Smoking cessation - enhanced services administration","9kc..00"
"Smoking cessatn monitor template complet - enhanc serv admin","9kc0.00"
"Current smoker annual review - enhanced services admin","9ko..00"
"Nicotine withdrawal","E023.00"
"Tobacco dependence","E251.00"
"Tobacco dependence, unspecified","E251000"
"Tobacco dependence, continuous","E251100"
"Tobacco dependence NOS","E251z00"
"[X]Mental and behavioural disorder due to use of tobacco","Eu17.00"
"[X]Mental and behav dis due to use of tobacco: harmful use","Eu17100"
"Advice on smoking","ZG23300"
"Fagerstrom test for nicotine dependence","ZRBm200"
"FTND - Fagerstrom test for nicotine dependence","ZRBm211"
"Motives for smoking scale","ZRaM.00"
"Occasions for smoking scale","ZRao.00"
"Reasons for smoking scale","ZRh4.00"
"RFS - Reasons for smoking scale","ZRh4.11"
"[V]Tobacco use","ZV4K000"
"[V]Tobacco abuse counselling","ZV6D800"
