bnfcode	bnf
1	12020200
2	11030100
3	07040200
4	10010100
5	02050501
6	06070200
7	05010103
8	13020102
9	03010101
10	03020000
11	07020200
12	02020400
13	04090100
14	13040000
15	02090000
16	05010200
17	02020100
18	02040000
19	08030402
20	07030100
21	05040100
22	14041700
23	14042100
24	09010101
25	07030201
26	12010100
27	13100400
28	05010101
29	05020000
30	06040102
31	05010800
32	06040101
33	11080100
34	14041400
35	06020100
36	01010102
37	14050100
38	12030400
39	01030500
40	13060102
41	11060300
42	01020200
43	11060500
44	14040500
45	03040101
46	12030100
47	04030100
48	14040900
49	07020100
50	12030502
51	12030200
52	14041500
53	15020000
54	13100200
55	04070100
56	04010100
57	04010200
58	05010500
59	05010300
60	05011200
61	14040000
62	05010102
63	01070200
64	01060400
65	05011100
66	11040100
67	01040200
68	03040300
69	13100101
70	14040700
71	14042200
72	12020100
73	14040800
74	14041200
75	11040200
76	13100102
77	14042300
78	13060101
79	01060100
80	03040102
81	03090100
82	04020100
83	80020103
84	04090200
85	06010202
86	02120400
87	03090200
88	05050100
89	13070000
90	04070402
91	13110200
92	01030100
93	01010301
94	09010200
95	01010100
96	04060000
97	10030202
98	03100000
99	14040300
100	09020102
101	03010551
102	06030200
103	04030301
104	01050000
105	08020100
106	12010300
107	12020300
108	04070401
109	03010502
110	13100300
111	05030100
112	07030202
113	06050100
114	09020101
115	80011100
116	13060202
117	13030000
118	11060100
119	06010201
120	01010201
121	10010202
122	10030201
123	13500602
124	04070200
125	03030100
126	14040400
127	13050200
128	13020200
129	09060200
130	06010102
131	91040000
132	91010000
133	93080200
134	80020102
135	02060200
136	09050102
137	13060104
138	02050400
139	07040500
140	96020000
141	06010600
142	02050502
143	06070400
144	05030201
145	04030300
146	03010550
147	13110400
148	13090000
149	13010000
150	02010100
151	02020200
152	80020201
153	01060200
154	02020300
155	13020101
156	01020100
157	96020101
158	96010000
159	13050100
160	00000000
161	04100200
162	05010105
163	13500000
164	90020102
165	13090100
166	15020100
167	09040402
168	02030201
169	10010402
170	90020101
171	09060400
172	06060200
173	13140000
174	01020300
175	80050000
176	07040300
177	07030400
178	07030300
179	01010101
180	02060100
181	09050101
182	01010200
183	05011300
184	10010500
185	04080100
186	07030203
187	06020200
188	14040200
189	01030400
190	94051200
191	94050400
192	09020200
193	09045002
194	09040100
195	11060400
196	02080200
197	80010200
198	94051000
199	80010300
200	80010600
201	80010801
202	80010700
203	80020104
204	02110000
205	90010101
206	90040000
207	06040200
208	01070100
209	11050000
210	13060103
211	03010400
212	03070000
213	03010200
214	03010501
215	14041900
216	14041000
217	08030401
218	04070300
219	07500100
220	03010102
221	04030400
222	03030000
223	13100500
224	15020400
225	07030450
226	09060700
227	80010400
228	09060300
229	07030453
230	07030401
231	01010103
232	80010500
233	80020304
234	10020200
235	02020800
236	96020102
237	05010600
238	06010101
239	13500801
240	13120000
241	80010900
242	03080000
243	06010203
244	02120200
245	02120300
246	06010400
247	91020000
248	91030100
249	01060000
250	13110100
251	06010104
252	04050200
253	06070100
254	03010300
255	14042000
256	94051300
257	09020201
258	93020100
259	93020200
260	93060000
261	07040403
262	93080100
263	93080800
264	02060300
265	10010401
266	07030402
267	08010300
268	03030200
269	08010504
270	07050100
271	80012000
272	11060000
273	01030600
274	05010900
275	01030300
276	02060401
277	07060000
278	01010302
279	94050500
280	94040000
281	11030300
282	13080200
283	06040103
284	10010300
285	94030100
286	04040000
287	95010100
288	07010103
289	04020300
290	80060000
291	01090200
292	05011000
293	90020200
294	06030100
295	09045001
296	02080100
297	09040000
298	01010202
299	23010000
300	01070400
301	14041100
302	06050200
303	11080200
304	11060200
305	80010100
306	90000000
307	90020300
308	03065000
309	03065500
310	02030202
311	07040101
312	01090500
313	13110600
314	80011000
315	95030000
316	13500500
317	93080400
318	80020109
319	15010300
320	94020100
321	09040401
322	11070000
323	04050100
324	06040300
325	04110000
326	04100100
327	09045000
328	90030200
329	13500802
330	01060300
331	13500600
332	05030000
333	90030101
334	02050200
335	11080202
336	93080300
337	05010400
338	05010700
339	80030000
340	04050000
341	09050201
342	07040400
343	15010401
344	09010102
345	03060100
346	03065400
347	03060400
348	80020200
349	90020000
350	09050400
351	01080000
352	94050300
353	94050700
354	80020107
355	04030200
356	13050300
357	13080100
358	80020110
359	03110000
360	95040000
361	13060100
362	09050103
363	07030451
364	13080101
365	09060600
366	01040100
367	14041600
368	13100501
369	80011600
370	90030102
371	13060203
372	95130000
373	09060800
374	91000000
375	07030101
376	03065100
377	04100300
378	01010303
379	13500604
380	91050000
381	09060500
382	16050000
383	92030000
384	15020200
385	04020200
386	13110500
387	02080400
388	01090400
389	94010100
390	01090100
391	13080102
392	96030000
393	13110700
394	16080000
395	13050000
396	92010000
397	09010300
398	09050202
399	10020100
400	02050100
401	02120100
402	13090200
403	13090300
404	13060201
405	90010102
406	80011200
407	04090300
408	08010507
409	93050000
410	07500200
411	94051400
412	09020202
413	09070000
414	06030000
415	02030203
416	80020105
417	95000000
418	07010102
419	02070100
420	05040200
421	04070403
422	10030200
423	04080200
424	08030200
425	08030403
426	03060500
427	07040100
428	09060100
429	09050000
430	06010105
431	01090401
432	12030300
433	99000000
434	08010100
435	05050300
436	94050600
437	94050800
438	14042400
439	14050200
440	13110300
441	96000000
442	80010802
443	08020200
444	05030300
445	93080500
446	02060500
447	02060402
448	13500102
449	02120500
450	04100000
451	02120600
452	09020103
453	05030400
454	14041800
455	08010505
456	92050000
457	21000000
458	02060400
459	15010102
460	15010403
461	93040000
462	03060200
463	14040600
464	94050000
465	80020108
466	01060500
467	16030000
468	05010104
469	02030000
470	80020202
471	03010504
472	13060000
473	08030100
474	05040300
475	94050200
476	07040102
477	93070000
478	94050100
479	07040402
480	95010200
481	03065300
482	02050300
483	05030101
484	11090000
485	02120700
486	14050000
487	95050000
488	80011800
489	93090000
490	10010400
491	06060300
492	15020700
493	94051100
494	08020400
495	13060200
496	94051500
497	14050300
498	05050800
499	01010300
500	95080000
501	15010402
502	09020300
503	05040400
504	15020800
505	90030300
506	20000000
507	04010300
508	07030452
509	06060100
510	03010500
511	13500700
512	09030000
513	23000000
514	08020401
515	13150000
516	93081300
517	03060600
518	13100503
519	07030404
520	50000000
521	01010104
522	06010103
523	05010130
524	03040100
525	09010110
526	05010120
527	04070110
528	05010110
529	10010120
530	13110000
531	11040000
532	04070130
533	05011110
534	03010110
535	09020120
536	04030302
537	02500000
538	01020000
539	13130500
540	10010110
541	04070410
542	06010110
543	06010120
544	09020110
545	06040110
546	09050200
547	09050300
548	12030500
549	13020110
550	09050110
551	06010210
552	03500000
553	11500100
554	02070300
555	03010100
556	09040200
557	13500502
558	13110701
559	13100110
560	13500501
561	13500504
562	13500503
563	13500101
564	94020200
565	07500400
566	01030000
567	12010200
568	04030303
569	08030400
570	05050200
571	08010200
572	12030501
573	07010101
574	13020300
575	93030000
576	13130400
577	10030100
578	06040130
579	13130300
580	95090000
581	02010000
582	04040100
583	99010000
584	10010220
585	13130900
586	06040120
587	06010220
588	02800000
589	94050900
590	80040000
591	13100100
592	03010120
593	16060000
594	02050700
595	05050400
596	04040200
597	07010300
598	01308010
599	09080102
600	05011120
601	07500300
602	13130100
603	04030304
604	93080700
605	06070300
606	08010400
607	13510000
608	07900000
609	08010500
610	09040300
611	07500500
612	04070000
613	01070300
614	04070120
615	11080201
616	05030202
617	08010603
618	05040800
619	08500100
620	01030700
621	12030101
622	80011500
623	16040000
624	95020000
625	08010601
626	11500000
627	98040000
628	02100200
629	95060000
630	05010201
631	93080900
632	14042500
633	13500505
634	13500201
635	13500601
636	80010000
637	13500701
638	13500300
639	97000000
640	09080104
641	09010600
642	07010100
643	13500506
644	05030500
645	01315000
646	09050220
647	02070200
648	16020000
649	13500804
650	13060105
651	93081000
652	13500202
653	13500900
654	10010600
655	07030500
656	02080201
657	02020700
658	13080109
659	02030300
660	11090200
661	95070000
662	13500803
663	95010300
664	13103080
665	15010100
666	14042600
667	02130000
668	06010230
669	80011300
670	05010000
671	12030503
672	91030200
673	92020000
674	06010500
675	80012200
676	11100100
677	02020900
678	80012100
679	16000000
680	98000000
681	15020500
682	15010200
683	93081200
684	07050200
685	11100200
686	07050600
687	07050400
688	80011400
689	11090300
690	03065200
691	10030203
692	93010000
693	01030200
694	94030200
695	02080300
696	08010512
697	20204000
698	14040100
699	09010400
700	90030000
701	02150000
702	03050100
703	15010202
704	01050100
705	01050200
706	13050203
707	13050201
708	08020405
709	13130000
710	05050600
711	15010500
712	89010000
713	95150000
714	07030403
715	01203030
716	13100502
717	89030000
718	89020000
719	13050206
720	09080101
721	94051600
722	01060600
723	02020500
724	02050000
725	07050500
726	07050300
727	08010506
728	92040000
729	13050202
730	13050204
731	95140000
732	01050400
733	00501030
734	80011700
735	17010000
736	94010200
737	01050500
738	80011900
739	05030203
740	93100000
741	01015000
742	05010703
743	05010702
744	09050500
745	08010515
746	92060000
747	11090100
748	13110702
749	13050205
750	09080300
751	06010700
752	80010101
753	05010707
754	11500200
755	01990000
756	95170000
757	95200000
758	08020402
759	03040200
760	02050503
761	02120000
762	14042800
763	13501000
764	09080106
765	08010602
766	08010508
767	05030103
768	15020600
769	05010701
770	95100000
771	16010000
772	02020600
773	09010120
774	05010705
775	95190000
776	05030102
777	15010410
778	02600000
779	95210000
780	15020300
781	10010304
782	08010522
783	80070000
784	95160000
785	05040700
786	15010700
787	02089900
788	09020000
789	09080107
790	05050900
791	08010604
792	10000000
793	08000000
794	01040000
795	10010403
796	09060110
797	09060330
798	09050130
799	15010501
