"metadata","category","readcode","readterm","medcode"
"Name: smoking_status_cprd        ",1,"1371.00","Never smoked tobacco",33
"Version: 1                       ",1,"1371.11","Non-smoker",11788
"Source: CPRD                     ",1,"137I.00","Passive smoker",13351
"Author: Julie George             ",1,"13WK.00","No smokers in the household",52503
"Date: 20 May 2011                ",1,"9kn..00","Non-smoker annual review - enhanced services administration",98177
"Timestamp: 19.07 11-Jul-13       ",2,"1377.00","Ex-trivial smoker (<1/day)",12961
"Categories:                      ",2,"1378.00","Ex-light smoker (1-9/day)",12957
"1. Non smoker                    ",2,"1379.00","Ex-moderate smoker (10-19/day)",12955
"2. Ex smoker                     ",2,"137A.00","Ex-heavy smoker (20-39/day)",12956
"3. Ever smoker                   ",2,"137B.00","Ex-very heavy smoker (40+/day)",12959
"4. Current smoker                ",2,"137F.00","Ex-smoker - amount unknown",12946
"5. Code conflict (current & ex)  ",2,"137K.00","Stopped smoking",776
"6. Code conflict (current & non) ",2,"137L.00","Current non-smoker",60
"                                 ",2,"137N.00","Ex pipe smoker",26470
"                                 ",2,"137O.00","Ex cigar smoker",19488
"                                 ",2,"137S.00","Ex smoker",90
"                                 ",2,"137T.00","Date ceased smoking",12878
"                                 ",2,"137j.00","Ex-cigarette smoker",97210
"                                 ",2,"9km..00","Ex-smoker annual review - enhanced services administration",98447
"                                 ",2,"E251300","Tobacco dependence in remission",72706
"                                 ",3,"137g.00","Cigarette pack-years",46300
"                                 ",3,"388B.00","Pack years",11713
"                                 ",3,"H310100","Smokers' cough",16717
"                                 ",3,"ZRb3.00","Pack years",42288
"                                 ",3,"ZV11600","[V]Personal history of tobacco abuse",72700
"                                 ",4,"137..00","Tobacco consumption",54
"                                 ",4,"137..11","Smoker - amount smoked",12942
"                                 ",4,"1372.00","Trivial smoker - < 1 cig/day",12958
"                                 ",4,"1372.11","Occasional smoker",12941
"                                 ",4,"1373.00","Light smoker - 1-9 cigs/day",12944
"                                 ",4,"1374.00","Moderate smoker - 10-19 cigs/d",1878
"                                 ",4,"1375.00","Heavy smoker - 20-39 cigs/day",3568
"                                 ",4,"1376.00","Very heavy smoker - 40+cigs/d",1822
"                                 ",4,"137C.00","Keeps trying to stop smoking",12964
"                                 ",4,"137G.00","Trying to give up smoking",12240
"                                 ",4,"137H.00","Pipe smoker",12947
"                                 ",4,"137J.00","Cigar smoker",12943
"                                 ",4,"137M.00","Rolls own cigarettes",12945
"                                 ",4,"137P.00","Cigarette smoker",93
"                                 ",4,"137P.11","Smoker",1823
"                                 ",4,"137Q.00","Smoking started",12952
"                                 ",4,"137Q.11","Smoking restarted",12951
"                                 ",4,"137R.00","Current smoker",10558
"                                 ",4,"137V.00","Smoking reduced",12966
"                                 ",4,"137X.00","Cigarette consumption",12965
"                                 ",4,"137Y.00","Cigar consumption",12963
"                                 ",4,"137Z.00","Tobacco consumption NOS",12960
"                                 ",4,"137a.00","Pipe tobacco consumption",12967
"                                 ",4,"137b.00","Ready to stop smoking",31114
"                                 ",4,"137c.00","Thinking about stopping smoking",30423
"                                 ",4,"137d.00","Not interested in stopping smoking",30762
"                                 ",4,"137e.00","Smoking restarted",41979
"                                 ",4,"137f.00","Reason for restarting smoking",46321
"                                 ",4,"137h.00","Minutes from waking to first tobacco consumption",62686
"                                 ",4,"13p..00","Smoking cessation milestones",10211
"                                 ",4,"13p0.00","Negotiated date for cessation of smoking",34126
"                                 ",4,"13p1.00","Smoking status at 4 weeks",34127
"                                 ",4,"13p2.00","Smoking status between 4 and 52 weeks",34374
"                                 ",4,"13p3.00","Smoking status at 52 weeks",41405
"                                 ",4,"13p4.00","Smoking free weeks",10898
"                                 ",4,"13p5.00","Smoking cessation programme start date",38112
"                                 ",4,"13p6.00","Carbon monoxide reading at 4 weeks",28886
"                                 ",4,"38DH.00","Fagerstrom test for nicotine dependence",97643
"                                 ",4,"6791.00","Health ed. - smoking",2111
"                                 ",4,"67A3.00","Pregnancy smoking advice",10184
"                                 ",4,"67H1.00","Lifestyle advice regarding smoking",18926
"                                 ",4,"67H6.00","Brief intervention for smoking cessation",98137
"                                 ",4,"745H.00","Smoking cessation therapy",74907
"                                 ",4,"745H000","Nicotine replacement therapy using nicotine patches",81440
"                                 ",4,"745H100","Nicotine replacement therapy using nicotine gum",85975
"                                 ",4,"745H200","Nicotine replacement therapy using nicotine inhalator",85247
"                                 ",4,"745H300","Nicotine replacement therapy using nicotine lozenges",89464
"                                 ",4,"745H400","Smoking cessation drug therapy",94958
"                                 ",4,"745Hy00","Other specified smoking cessation therapy",91708
"                                 ",4,"745Hz00","Smoking cessation therapy NOS",90522
"                                 ",4,"8B2B.00","Nicotine replacement therapy",9833
"                                 ",4,"8B3Y.00","Over the counter nicotine replacement therapy",32572
"                                 ",4,"8B3f.00","Nicotine replacement therapy provided free",25106
"                                 ",4,"8BP3.00","Nicotine replacement therapy provided by community pharmacis",67178
"                                 ",4,"8CAL.00","Smoking cessation advice",7622
"                                 ",4,"8CAg.00","Smoking cessation advice provided by community pharmacist",41042
"                                 ",4,"8H7i.00","Referral to smoking cessation advisor",18573
"                                 ",4,"8HBM.00","Stop smoking face to face follow-up",98245
"                                 ",4,"8HTK.00","Referral to stop-smoking clinic",10742
"                                 ",4,"8HkQ.00","Referral to NHS stop smoking service",98154
"                                 ",4,"8I2I.00","Nicotine replacement therapy contraindicated",66409
"                                 ",4,"8I2J.00","Bupropion contraindicated",63717
"                                 ",4,"8I39.00","Nicotine replacement therapy refused",24529
"                                 ",4,"8I3M.00","Bupropion refused",57639
"                                 ",4,"9N2k.00","Seen by smoking cessation advisor",11356
"                                 ",4,"9N4M.00","DNA - Did not attend smoking cessation clinic",11527
"                                 ",4,"9OO..00","Anti-smoking monitoring admin.",28834
"                                 ",4,"9OO..11","Stop smoking clinic admin.",32083
"                                 ",4,"9OO..12","Stop smoking monitoring admin.",7130
"                                 ",4,"9OO1.00","Attends stop smoking monitor.",12953
"                                 ",4,"9OO2.00","Refuses stop smoking monitor",40418
"                                 ",4,"9OO3.00","Stop smoking monitor default",40417
"                                 ",4,"9OO4.00","Stop smoking monitor 1st lettr",42722
"                                 ",4,"9OO5.00","Stop smoking monitor 2nd lettr",60720
"                                 ",4,"9OO6.00","Stop smoking monitor 3rd lettr",66387
"                                 ",4,"9OO7.00","Stop smoking monitor verb.inv.",53101
"                                 ",4,"9OO8.00","Stop smoking monitor phone inv",58597
"                                 ",4,"9OO9.00","Stop smoking monitoring delete",63901
"                                 ",4,"9OOA.00","Stop smoking monitor.chck done",19485
"                                 ",4,"9OOZ.00","Stop smoking monitor admin.NOS",21637
"                                 ",4,"9kc..00","Smoking cessation - enhanced services administration",96992
"                                 ",4,"9kc0.00","Smoking cessatn monitor template complet - enhanc serv admin",98493
"                                 ",4,"9ko..00","Current smoker annual review - enhanced services admin",98347
"                                 ",4,"E023.00","Nicotine withdrawal",6359
"                                 ",4,"E251.00","Tobacco dependence",32687
"                                 ",4,"E251000","Tobacco dependence, unspecified",95610
"                                 ",4,"E251100","Tobacco dependence, continuous",70746
"                                 ",4,"E251z00","Tobacco dependence NOS",68658
"                                 ",4,"Eu17.00","[X]Mental and behavioural disorder due to use of tobacco",61905
"                                 ",4,"Eu17100","[X]Mental and behav dis due to use of tobacco: harmful use",56144
"                                 ",4,"ZG23300","Advice on smoking",9045
"                                 ",4,"ZRBm200","Fagerstrom test for nicotine dependence",63666
"                                 ",4,"ZRBm211","FTND - Fagerstrom test for nicotine dependence",63299
"                                 ",4,"ZRaM.00","Motives for smoking scale",47273
"                                 ",4,"ZRao.00","Occasions for smoking scale",91513
"                                 ",4,"ZRh4.00","Reasons for smoking scale",59866
"                                 ",4,"ZRh4.11","RFS - Reasons for smoking scale",49418
"                                 ",4,"ZV4K000","[V]Tobacco use",12954
"                                 ",4,"ZV6D800","[V]Tobacco abuse counselling",35055
