"summary","description","numb","AF","numb_diff","AF_diff"
"original","original",6529382,NA,NA,NA
"diff pat id traced back to same person","diff patid share same tumour id so all patid excluded",6473252,NA,56130,NA
"has AF related record","has AF related record",6473252,339379,0,NA
"only hx","only medcodes for history of AF",6468543,334670,4709,4709
"hx<diag","history of AF record before diagnosis record",6453935,320062,14608,14608
"has AF related record","has AF related record",6473252,339621,-19317,-19559
"has AF diagnosis record with known date or AF history record","has AF diagnosis record with known date or AF history record",6473077,339446,175,175
"only hx","only medcodes for history of AF",6468368,334737,4709,4709
"hx<diag or hx unknown, diag known","history of AF record before diagnosis record or history of AF date not recorded and has AF diagnosis record",6453699,320068,14669,14669
"diag before or on start of follow-up","AF diagnosis before or on start of follow-up",6356852,223221,96847,96847
"cancer history","had a cancer history",6222006,215143,134846,8078
"end<=start","max(1998,crd+1y,uts,18yo) to min(2015,dod,af,cancer)",5945643,214853,276363,290
