"var","estimate","se","z","p","lower","upper","df","crit","eform","cancer_organsys","gender","term","organsys_desc","outcome","fup"
"1.case",0.90753096,0.10991434,-0.80112898,0.42305699,0.71576321,1.1506772,NA,1.959964,1,11,"Men","case","Other","cancer organ sys","long"
"1.case",1.0724925,0.16202745,0.46324706,0.64318728,0.79762441,1.4420823,NA,1.959964,1,12,"Men","case","Unknown primary","cancer organ sys","long"
"1.case",1.1820174,0.11421458,1.7306029,0.083522618,0.97808135,1.4284754,NA,1.959964,1,5,"Men","case","Immune & haematological","cancer organ sys","long"
"1.case",0.9522633,0.064565785,-0.72141474,0.4706544,0.83376473,1.0876036,NA,1.959964,1,6,"Men","case","Respiratory","cancer organ sys","long"
"1.case",1.1553334,0.064789914,2.574744,0.010031431,1.0350775,1.2895609,NA,1.959964,1,7,"Men","case","Digestive","cancer organ sys","long"
"1.case",0.97090644,0.094086058,-0.3046802,0.76060975,0.80295533,1.1739873,NA,1.959964,1,8,"Men","case","Urinary","cancer organ sys","long"
"1.case",0.88891321,0.049727503,-2.1049631,0.035294533,0.79660225,0.99192131,NA,1.959964,1,9,"Men","case","Reproductive","cancer organ sys","long"
"1.case",1.0273348,0.076259963,0.36329722,0.71638286,0.88823229,1.1882216,NA,1.959964,1,10,"Women","case","Breast","cancer organ sys","long"
"1.case",0.67732334,0.11127659,-2.3714743,0.017717278,0.49085504,0.93462819,NA,1.959964,1,11,"Women","case","Other","cancer organ sys","long"
"1.case",1.1537198,0.18205577,0.90616155,0.36485037,0.84680152,1.5718788,NA,1.959964,1,12,"Women","case","Unknown primary","cancer organ sys","long"
"1.case",0.84025258,0.10855845,-1.3471848,0.17792074,0.65228415,1.0823878,NA,1.959964,1,5,"Women","case","Immune & haematological","cancer organ sys","long"
"1.case",0.87732422,0.086458758,-1.3280667,0.18415606,0.72322881,1.0642521,NA,1.959964,1,6,"Women","case","Respiratory","cancer organ sys","long"
"1.case",1.0020117,0.071830392,0.028033029,0.9776358,0.87066954,1.1531669,NA,1.959964,1,7,"Women","case","Digestive","cancer organ sys","long"
"1.case",0.74117333,0.12237224,-1.814111,0.069660641,0.53626716,1.0243735,NA,1.959964,1,8,"Women","case","Urinary","cancer organ sys","long"
"1.case",1.2272586,0.14339608,1.7526391,0.079663984,0.97606665,1.5430951,NA,1.959964,1,9,"Women","case","Reproductive","cancer organ sys","long"
