"var","estimate","se","z","p","lower","upper","df","crit","eform","cancer_bodyregion","gender","term","region_desc","outcome","fup"
"1.case",1.0030365,0.13965413,0.021775888,0.98262674,0.76348901,1.3177428,NA,1.959964,1,1,"Men","case","Head and neck","cancer region","long"
"1.case",1.0002154,0.063952975,0.0033681667,0.99731261,0.88240588,1.1337535,NA,1.959964,1,2,"Men","case","Chest","cancer region","long"
"1.case",1.1477154,0.076021597,2.0799956,0.037525926,1.0079823,1.3068192,NA,1.959964,1,3,"Men","case","Abdomen","cancer region","long"
"1.case",0.93032217,0.042604994,-1.5770903,0.11477476,0.85045582,1.0176888,NA,1.959964,1,4,"Men","case","Pelvis","cancer region","long"
"1.case",1.1238443,0.10244861,1.2807846,0.20026933,0.93996429,1.3436955,NA,1.959964,1,7,"Men","case","Other","cancer region","long"
"1.case",1.0724925,0.16202745,0.46324706,0.64318728,0.79762441,1.4420823,NA,1.959964,1,8,"Men","case","Unknown primary","cancer region","long"
"1.case",0.64273953,0.13958953,-2.03526,0.041824728,0.41992515,0.98378026,NA,1.959964,1,1,"Women","case","Head and neck","cancer region","long"
"1.case",0.96980375,0.056303363,-0.52813339,0.59740674,0.86549807,1.0866798,NA,1.959964,1,2,"Women","case","Chest","cancer region","long"
"1.case",1.0086259,0.080552839,0.10754421,0.91435724,0.86248153,1.1795338,NA,1.959964,1,3,"Women","case","Abdomen","cancer region","long"
"1.case",0.98878986,0.084383823,-0.13209996,0.89490521,0.83649242,1.1688155,NA,1.959964,1,4,"Women","case","Pelvis","cancer region","long"
"1.case",0.85169965,0.1071656,-1.275745,0.20204565,0.66555434,1.0899068,NA,1.959964,1,7,"Women","case","Other","cancer region","long"
"1.case",1.1537198,0.18205577,0.90616155,0.36485037,0.84680152,1.5718788,NA,1.959964,1,8,"Women","case","Unknown primary","cancer region","long"
