"gender","organsys_desc","term","RR","lower","upper","p","AIC"
"Men","Immune & haematological","(Intercept)",6.77723834230807e-05,2.58718190461185e-05,0.000177532779842714,5.29484643881533e-85,2398.94832154423
"Men","Immune & haematological","caseTRUE",6.16516847019133,3.96872300827953,9.57721216284092,5.79136704219839e-16,2398.94832154423
"Men","Immune & haematological","age_start",1.02370388523792,1.01135624632247,1.03620227636094,0.000154450076208988,2398.94832154423
"Men","Respiratory","(Intercept)",0.000186079789710151,0.000109523068987884,0.000316149724971684,2.21488086865864e-221,5930.79830201132
"Men","Respiratory","caseTRUE",9.3294617127152,6.90714914331859,12.6012706607346,5.06668712807408e-48,5930.79830201132
"Men","Respiratory","age_start",1.01972241472193,1.01321889004714,1.02626768342026,2.19327008148706e-09,5930.79830201132
"Men","Digestive","(Intercept)",6.53636129617619e-05,3.60959990112926e-05,0.000118362201253341,5.51158317325908e-222,5786.35107362678
"Men","Digestive","caseTRUE",4.38418458989447,3.46991368750865,5.53935234396811,3.09999978755001e-35,5786.35107362678
"Men","Digestive","age_start",1.04186328384011,1.03424668932002,1.04953596992199,6.30401756111759e-28,5786.35107362678
"Men","Urinary","(Intercept)",2.80781786104809e-05,9.98147069030653e-06,7.8984764724872e-05,8.86076816891969e-88,2564.37844955318
"Men","Urinary","caseTRUE",4.55145879684554,3.1052766698122,6.67115345333643,7.94601657914555e-15,2564.37844955318
"Men","Urinary","age_start",1.03994501163415,1.02717112197947,1.05287775725101,5.25414352175169e-10,2564.37844955318
"Men","Reproductive","(Intercept)",2.78520867266666e-05,1.1406379110491e-05,6.80092014753638e-05,2.48365263328606e-117,3524.53533117431
"Men","Reproductive","caseTRUE",2.20813483969175,1.69353832313279,2.87909603441444,4.87003286191672e-09,3524.53533117431
"Men","Reproductive","age_start",1.05210270506849,1.04077576019816,1.06355292306354,3.69287176765501e-20,3524.53533117431
"Men","Other","(Intercept)",3.8958484482648e-05,4.99683394758805e-06,0.000303745037178461,3.3369512308393e-22,898.580717224133
"Men","Other","caseTRUE",2.71031429312121,1.46888228113885,5.00094776948484,0.00142164145421306,898.580717224133
"Men","Other","age_start",1.02447407921815,0.998423314954058,1.05120455749592,0.0657838239547191,898.580717224133
"Men","Unknown primary","(Intercept)",4.03750877574044e-06,7.70977416784044e-07,2.11439100021618e-05,6.25458610202485e-49,1446.79664576382
"Men","Unknown primary","caseTRUE",7.52167925729103,4.01064879520057,14.1063607756592,3.19378431166183e-10,1446.79664576382
"Men","Unknown primary","age_start",1.05156656955495,1.03074987546815,1.07280367092292,8.27289698732781e-07,1446.79664576382
"Women","Immune & haematological","(Intercept)",0.000209759436894816,6.55798978771268e-05,0.000670922383088623,3.03466867663067e-46,2081.51100709419
"Women","Immune & haematological","caseTRUE",5.31585489311526,3.37132546450369,8.38195942284009,6.45198834934679e-13,2081.51100709419
"Women","Immune & haematological","age_start",1.00749672964518,0.993476137482467,1.02171518967525,0.29622475445676,2081.51100709419
"Women","Respiratory","(Intercept)",0.00180861130036149,0.000992007247462032,0.00329743038084053,2.26973655447021e-94,4141.29450008431
"Women","Respiratory","caseTRUE",7.51931114967358,5.33667094724758,10.5946273855926,9.04762699215779e-31,4141.29450008431
"Women","Respiratory","age_start",0.986784296690955,0.979664285322692,0.993956054930716,0.000317289446292301,4141.29450008431
"Women","Digestive","(Intercept)",0.000355078936347874,0.000176170927043065,0.000715674561939024,2.60797377073308e-109,4910.20639099904
"Women","Digestive","caseTRUE",5.3291415459008,4.04581429873776,7.01953859451886,1.14024920322382e-32,4910.20639099904
"Women","Digestive","age_start",1.0135012332949,1.00519510068198,1.02187600117966,0.00140277112317768,4910.20639099904
"Women","Urinary","(Intercept)",4.98199768915583e-06,8.31282669146365e-07,2.98578352418218e-05,9.76048446421445e-41,1148.6094651891
"Women","Urinary","caseTRUE",5.44026130005225,2.86097867345191,10.3448667015531,2.39472746401251e-07,1148.6094651891
"Women","Urinary","age_start",1.04575358859288,1.02517562237982,1.06674460861274,1.02394325411095e-05,1148.6094651891
"Women","Reproductive","(Intercept)",0.000322299192015731,9.02720613090198e-05,0.00115070784545842,3.26482795849024e-35,1685.33984156824
"Women","Reproductive","caseTRUE",3.11462315881647,2.002603788805,4.84413216217106,4.61336884747469e-07,1685.33984156824
"Women","Reproductive","age_start",1.00418658152527,0.98887564627541,1.01973457867378,0.594073073622738,1685.33984156824
"Women","Breast","(Intercept)",9.84153087820143e-05,2.5049291919245e-05,0.000386660550481186,7.15466966760435e-40,2548.57858657459
"Women","Breast","caseTRUE",1.80017121315689,1.31695696821334,2.46068510581265,0.000227411064079918,2548.57858657459
"Women","Breast","age_start",1.02982124091535,1.01335458057861,1.04655547876921,0.000352858720153947,2548.57858657459
"Women","Other","(Intercept)",0.000197252458034923,3.65137773726951e-05,0.00106558496546881,3.67008703121317e-23,842.728433087976
"Women","Other","caseTRUE",2.19955802804581,1.1948962540893,4.04893353894404,0.0113448324954486,842.728433087976
"Women","Other","age_start",1.00344119998978,0.983450443897341,1.02383831141168,0.737934865300716,842.728433087976
"Women","Unknown primary","(Intercept)",0.000102527391757549,2.71362644705268e-05,0.000387373364230842,8.63905839396442e-42,1571.01514245
"Women","Unknown primary","caseTRUE",6.21036790872961,3.53184087396981,10.9202738566268,2.27075086593269e-10,1571.01514245
"Women","Unknown primary","age_start",1.01082004709313,0.994740993681249,1.02715900329405,0.188358727594215,1571.01514245
