var,b,se,z,pvalue,ll,ul,df,crit,eform,subtype
0b.case,1,,,,,,,1.959964,1,7
1.case,1.1553334,.064789914,2.574744,.010031431,1.0350775,1.2895609,,1.959964,1,7
age_start,1.0186034,.0019529173,9.6140308,6.9762976e-22,1.0147829,1.0224383,,1.959964,1,7
0b.diab,1,,,,,,,1.959964,1,7
1.diab,1.3114445,.10490327,3.3895121,.00070017111,1.121145,1.5340449,,1.959964,1,7
0b.ht,1,,,,,,,1.959964,1,7
1.ht,1.123238,.065754965,1.9852147,.047120582,1.0014793,1.2598,,1.959964,1,7
0b.smok,1,,,,,,,1.959964,1,7
1.smok,1.0825852,.065225281,1.3170531,.18782085,.9620055,1.2182785,,1.959964,1,7
1b.alc_num,1,,,,,,,1.959964,1,7
2.alc_num,.9999463,.22677226,-.00023689857,.99981099,.64111716,1.5596098,,1.959964,1,7
3.alc_num,.87287539,.068212338,-1.7398362,.081887774,.74891692,1.017351,,1.959964,1,7
4.alc_num,.92164719,.085399963,-.88055986,.37855607,.76858556,1.1051905,,1.959964,1,7
