var,b,se,z,pvalue,ll,ul,df,crit,eform,subtype
0b.case,1,,,,,,,1.959964,1,7
1.case,1.0131921,.042803507,.31022421,.75639045,.93267804,1.1006565,,1.959964,1,7
age_start,1.0333222,.0016358451,20.705708,0,1.030121,1.0365334,,1.959964,1,7
0b.diab,1,,,,,,,1.959964,1,7
1.diab,1.1773406,.065449812,2.9367621,.003316585,1.0558028,1.3128692,,1.959964,1,7
0b.ht,1,,,,,,,1.959964,1,7
1.ht,1.1117918,.049211141,2.3941712,.016657969,1.0194051,1.2125514,,1.959964,1,7
0b.smok,1,,,,,,,1.959964,1,7
1.smok,1.2424663,.060494501,4.4588742,8.2391316e-06,1.1293808,1.3668751,,1.959964,1,7
1b.alc_num,1,,,,,,,1.959964,1,7
2.alc_num,1.0282862,.13119422,.21862707,.82694054,.80078,1.3204284,,1.959964,1,7
3.alc_num,.79365641,.052359689,-3.5030324,.00045999358,.69739115,.90320975,,1.959964,1,7
4.alc_num,.92885137,.060323004,-1.1364702,.25575984,.81783575,1.0549366,,1.959964,1,7
